grid_size,cells/sec
1024,717175
4096,3.11552e+06
16384,7.12125e+06
65536,1.17813e+07
262144,1.46576e+07
1048576,1.59271e+07
4194304,1.67076e+07
16777216,1.91427e+07
67108864,2.15287e+07
268435456,2.20638e+07
1073741824,2.38815e+07
